job_title,location,salary,profession,description,gender,country,salary_local,salary_usd,job_category,sub_category,job_title_norm,location_norm,profession_norm,description_norm,job_category_norm,sub_category_norm,salary_min,salary_max,salary_avg,salary_chosen,experience_years,job_title_cluster
فرص عمل موظفة اعمال ادارية - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,3000 - 4000 جنيه مصري,اعمال المكتب, سنتان خبرة على الأقل- مؤهل عالي- اعمال ادارية,female,Egypt,3500.0,112.0,خدمة عملاء,خدمة عملاء,فرص عمل موظفه اعمال اداريه - 15 مايو - القاهره,,اعمال المكتب,سنتان خبره علي الاقل- مؤهل عالي- اعمال اداريه,Customer Service,خدمه عملاء,300.0,0.0,150.0,150.0,,7
مدخل بيانات و خدمة عملاء - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,3500 - 4000 جنيه مصري,خدمة عملاء,- 4-‎10 سنوات خبرة- مؤهل عالي- تسويق ومبيعات,female,Egypt,3750.0,120.0,خدمة عملاء,خدمة عملاء,مدخل بيانات و خدمه عملاء - 15 مايو - القاهره,,خدمه عملاء,- 4-‎10 سنوات خبره- مؤهل عالي- تسويق ومبيعات,Customer Service,خدمه عملاء,350.0,0.0,175.0,175.0,4.0,7
دليفري (يشترط إمتلاك دراجة نارية) جوكر خطوط القاهره والجيزه - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,3000 - 5000 جنيه مصري,قيادة الدراجات البخارية,المهام المطلوبة:مندوب احتياطي في فرع العباسيه ومندوب لفرع الجيزه جوكر احتياطيتوصيل الشحنات الخط بشكل يومي.الاحتفاظ بسجلات التسليم والتأكد من توقيع العميل على الاستلام.العناية بالمنتجات واتباع إرشادات النقل.القيادة بشكل مناسب واتباع جميع قوانين وقواعد القيادة والحفاظ على بيئة عمل آمنة.التواصل مع العملاء عبر الهاتف لمعرفة وقت التسليم إذا كانت هناك مشاكل أو تغييرات في وقت وصولهم المتوقع.اتباع المسار المخطط بدقة دون الخروج عن خط السير المحدد.يحافظ على التواصل مع الإدارة لتكون على علم بأي تغيير في التسليم أو الطريق أو الجدول الزمني.ابلاغ الإدارة بأي عوائق أمام القيام بعمليات تسليم آمنة وفعالة في الوقت المحدد.- سنة خبرة على الأقل- يجيد القراءة والكتابة بلا شهادة- قيادة وتوصيل,male,Egypt,4000.0,128.0,سائقين وتوصيل,سائقين وتوصيل,دليفري (يشترط امتلاك دراجه ناريه) جوكر خطوط القاهره والجيزه - 15 مايو - القاهره,,قياده الدراجات البخاريه,المهام المطلوبه:مندوب احتياطي في فرع العباسيه ومندوب لفرع الجيزه جوكر احتياطيتوصيل الشحنات الخط بشكل يومي.الاحتفاظ بسجلات التسليم والتاكد من توقيع العميل علي الاستلام.العنايه بالمنتجات واتباع ارشادات النقل.القياده بشكل مناسب واتباع جميع قوانين وقواعد القياده والحفاظ علي بيئه عمل امنه.التواصل مع العملاء عبر الهاتف لمعرفه وقت التسليم اذا كانت هناك مشاكل او تغييرات في وقت وصولهم المتوقع.اتباع المسار المخطط بدقه دون الخروج عن خط السير المحدد.يحافظ علي التواصل مع الاداره لتكون علي علم باي تغيير في التسليم او الطريق او الجدول الزمني.ابلاغ الاداره باي عوائق امام القيام بعمليات تسليم امنه وفعاله في الوقت المحدد.- سنه خبره علي الاقل- يجيد القراءه والكتابه بلا شهاده- قياده وتوصيل,Drivers,سائقين وتوصيل,300.0,0.0,150.0,150.0,,7
مسئولين مبيعات داخلية (Accessories Promoter - Smart Watches) (القاهرة) - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,4000 - 6000 جنيه مصري,مبيعات داخلية,متطلبات الوظيفة:- حاصل على مؤهل عالي او طالب .- يفضل من لديه خبرة مسبقة في مجال اكسسوارات الموبيلات.- يجب أن يكون المتقدم لديه مهارات تواصل مع العملاء ، و مهارات البيع بصورة ممتازة.- سن المتقدم لايتعدى 30 سنة.مميزات الشركة:- يوجد مرتب ثابت و حوافز.- تأمين صحي و اجتماعي.مواعيد العمل:- 8 ساعات بالاضافة الى يوم متغير أجازة إسبوعيًا.- 4 سنوات خبرة على الأكثر- مؤهل عالي- تسويق ومبيعات,neutral,Egypt,5000.0,160.0,مبيعات,مبيعات,مسئولين مبيعات داخليه (Accessories Promoter - Smart Watches) (القاهره) - 15 مايو - القاهره,,مبيعات داخليه,متطلبات الوظيفه:- حاصل علي مؤهل عالي او طالب .- يفضل من لديه خبره مسبقه في مجال اكسسوارات الموبيلات.- يجب ان يكون المتقدم لديه مهارات تواصل مع العملاء ، و مهارات البيع بصوره ممتازه.- سن المتقدم لايتعدي 30 سنه.مميزات الشركه:- يوجد مرتب ثابت و حوافز.- تامين صحي و اجتماعي.مواعيد العمل:- 8 ساعات بالاضافه الي يوم متغير اجازه اسبوعيا.- 4 سنوات خبره علي الاكثر- مؤهل عالي- تسويق ومبيعات,Sales,مبيعات,400.0,0.0,200.0,200.0,30.0,7
مندوب مبيعات خارجية (اناث وذكور) - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,5000 - 6500 جنيه مصري,مبيعات خارجية وتوزيع,شركة اي بيزنس وكيل شركات المحمول.موظفين مبيعات خطوط البيزنس للقطاع الحكومي (خط مجانا - فريق عمل مجانا بين الخطوط - مكالمات ونت علي الخطوط البيزنس)(المسئوليات)- مواعيد عمل 5 ساعات فقط- التعامل مع العملاء المستهدفين.- تسويق خدمات الشركة و مميزاتها.- التعامل مع العملاء و تلقى الشكاوى أو الاستفسارات.- يفضل اجاده مهارات البيع(المتطلبات)مؤهل متوسط او اعلييفضل وجود خبره فى مجال المبيعات.السن لا يتجاوز 35 عام.يفضل وجود موتسكل.(المميزات)- تامين صحى.- راتب ثابت + عمولات + حوافز اضافيه- مع ملاحظة ان مواعيد العمل صباحيه من 8صباحا الي 2 ظهرا فقط والعمل في محيط سكن المندوب- الاجازه جمعه وسبت وعطلات رسميه- ممستقبل وظيفى و فرص للترقى- سنة خبرة على الأقل- ثانوية فنية نظام ٣ سنوات (متوسط)- تسويق ومبيعات,neutral,Egypt,5750.0,184.0,مبيعات,مبيعات,مندوب مبيعات خارجيه (اناث وذكور) - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,شركه اي بيزنس وكيل شركات المحمول.موظفين مبيعات خطوط البيزنس للقطاع الحكومي (خط مجانا - فريق عمل مجانا بين الخطوط - مكالمات ونت علي الخطوط البيزنس)(المسئوليات)- مواعيد عمل 5 ساعات فقط- التعامل مع العملاء المستهدفين.- تسويق خدمات الشركه و مميزاتها.- التعامل مع العملاء و تلقي الشكاوي او الاستفسارات.- يفضل اجاده مهارات البيع(المتطلبات)مؤهل متوسط او اعلييفضل وجود خبره في مجال المبيعات.السن لا يتجاوز 35 عام.يفضل وجود موتسكل.(المميزات)- تامين صحي.- راتب ثابت + عمولات + حوافز اضافيه- مع ملاحظه ان مواعيد العمل صباحيه من 8صباحا الي 2 ظهرا فقط والعمل في محيط سكن المندوب- الاجازه جمعه وسبت وعطلات رسميه- ممستقبل وظيفي و فرص للترقي- سنه خبره علي الاقل- ثانويه فنيه نظام ٣ سنوات (متوسط)- تسويق ومبيعات,Sales,مبيعات,500.0,0.0,250.0,250.0,5.0,7
كول سنتر (اتصالات مصر 2025) (القاهرة و الجيزة فقط) AH - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,5400 - 6750 جنيه مصري,كول سنتر/Call Center,- كول سنتر (عربي).- مستوى اللغة الإنجليزية جيد- للخريجين الحاصلين على مؤهلات عليا وإتمام الجيش/الإعفاء.- العقد مع اتصالات نفسها (in sourse).- الراتب 5400 الى 6750 جنيه.- تأمين طبي واجتماعي.- موصلات ذهاب وعوده.‎- شيفتات rotational (8 ساعات).- خمسة أيام عمل.- خط فاتوره من اتصالات.- الحد الأقصى للعمر 30 سنة.- يشترط أن يكون من سكان القاهرة او الجيزة.- لا يشترط خبرة- مؤهل عالي- تسويق ومبيعات,male,Egypt,6075.0,194.4,خدمة عملاء,خدمة عملاء,كول سنتر (اتصالات مصر 2025) (القاهره و الجيزه فقط) AH - 15 مايو - القاهره,,كول سنتر/Call Center,- كول سنتر (عربي).- مستوي اللغه الانجليزيه جيد- للخريجين الحاصلين علي مؤهلات عليا واتمام الجيش/الاعفاء.- العقد مع اتصالات نفسها (in sourse).- الراتب 5400 الي 6750 جنيه.- تامين طبي واجتماعي.- موصلات ذهاب وعوده.‎- شيفتات rotational (8 ساعات).- خمسه ايام عمل.- خط فاتوره من اتصالات.- الحد الاقصي للعمر 30 سنه.- يشترط ان يكون من سكان القاهره او الجيزه.- لا يشترط خبره- مؤهل عالي- تسويق ومبيعات,Customer Service,خدمه عملاء,540.0,0.0,270.0,270.0,5400.0,7
فرص عمل أخصائى مناقصات - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,اعمال المكتب,المهام المطلوبة:تحضير وتنظيم البيانات.التأكد من دقة البيانات والمعلومات.تحديث البيانات والمعلومات أولًا بأول.- 4 سنوات خبرة على الأقل- مؤهل عالي- اعمال ادارية,neutral,Egypt,6669.6274,213.42807,خدمة عملاء,خدمة عملاء,فرص عمل اخصائي مناقصات - 15 مايو - القاهره,,اعمال المكتب,المهام المطلوبه:تحضير وتنظيم البيانات.التاكد من دقه البيانات والمعلومات.تحديث البيانات والمعلومات اولا باول.- 4 سنوات خبره علي الاقل- مؤهل عالي- اعمال اداريه,Customer Service,خدمه عملاء,,,,6669.62744140625,4.0,7
سائق (رخصة درجة ثانية) - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,7000 - 8500 جنيه مصري,قيادة سيارات ركوب ونقل ثقيل,- 3-‎5 سنوات خبرة- ثانوية فنية نظام ٣ سنوات (متوسط)- قيادة وتوصيل,male,Egypt,7750.0,248.0,سيارات وميكانيك,سيارات وميكانيك,سائق (رخصه درجه ثانيه) - 15 مايو - القاهره,,قياده سيارات ركوب ونقل ثقيل,- 3-‎5 سنوات خبره- ثانويه فنيه نظام ٣ سنوات (متوسط)- قياده وتوصيل,Mechanistic,سيارات وميكانيك,700.0,0.0,350.0,350.0,3.0,7
مشرف مبيعات خارجية - القاهرة - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,مبيعات خارجية وتوزيع,- مشرف مبيعات وتسويق- العمل فى محافظة الجيزهالشركه المصريه الإيطالية لصناعة المواسير ووصلات مياة الشرب والصرف الصحى (بيلا سيتى)- الشركة تعمل في مجال المواسيروالصرف الصحى- يشترط وجود خبرة سابقة.- تتم المقابلة الشخصية في مقر الشركة- سنة-‎3 سنوات خبرة- دبلوم نظام ٥ سنوات (فوق متوسط)- تسويق ومبيعات,male,Egypt,7902.507,252.88022,مبيعات,مبيعات,مشرف مبيعات خارجيه - القاهره - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,- مشرف مبيعات وتسويق- العمل في محافظه الجيزهالشركه المصريه الايطاليه لصناعه المواسير ووصلات مياه الشرب والصرف الصحي (بيلا سيتي)- الشركه تعمل في مجال المواسيروالصرف الصحي- يشترط وجود خبره سابقه.- تتم المقابله الشخصيه في مقر الشركه- سنه-‎3 سنوات خبره- دبلوم نظام ٥ سنوات (فوق متوسط)- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,3.0,7
مندوب مبيعات خارجية - القاهرة - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,مبيعات خارجية وتوزيع,مندوب مبيعات وتسويق- العمل فى محافظة القاهرهالشركه المصريه الإيطالية لصناعة المواسير ووصلات مياة الشرب والصرف الصحى (بيلا سيتى)- الشركة تعمل في مجال المواسيروالصرف الصحى- تتم المقابلة الشخصية في مقر الشركة- سنة-‎3 سنوات خبرة- ثانوية فنية نظام ٣ سنوات (متوسط)- تسويق ومبيعات,male,Egypt,7902.507,252.88022,مبيعات,مبيعات,مندوب مبيعات خارجيه - القاهره - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,مندوب مبيعات وتسويق- العمل في محافظه القاهرهالشركه المصريه الايطاليه لصناعه المواسير ووصلات مياه الشرب والصرف الصحي (بيلا سيتي)- الشركه تعمل في مجال المواسيروالصرف الصحي- تتم المقابله الشخصيه في مقر الشركه- سنه-‎3 سنوات خبره- ثانويه فنيه نظام ٣ سنوات (متوسط)- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,3.0,7
مندوب دعاية لديه سيارة - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,مبيعات خارجية وتوزيع,- مندوب دعايه - يشترط لدية سيارة لشركة نهضة مصر للنشر بالمزايا الاتيهمسئول عن توزيع كتب خارجية مجانية كدعاية للشركة.مرتب مجزى ثابتبدل سيارة + بدل بنزينعمولهتأمين اجتماعى + تأمين صحى خاص للاسرةمنح ومكافآتزيادات سنويةفرص للترقى- 3 سنوات خبرة على الأكثر- مؤهل عالي- تسويق ومبيعات,male,Egypt,7902.507,252.88022,مبيعات,مبيعات,مندوب دعايه لديه سياره - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,- مندوب دعايه - يشترط لديه سياره لشركه نهضه مصر للنشر بالمزايا الاتيهمسئول عن توزيع كتب خارجيه مجانيه كدعايه للشركه.مرتب مجزي ثابتبدل سياره + بدل بنزينعمولهتامين اجتماعي + تامين صحي خاص للاسرهمنح ومكافاتزيادات سنويهفرص للترقي- 3 سنوات خبره علي الاكثر- مؤهل عالي- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,3.0,7
مسؤول مبيعات خارجية ( خبره في مجال الادوات الصحيه ) - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,مبيعات خارجية وتوزيع,تقديم مقترحات المبيعات للعملاء المحتملينتقييم احتياجات العملاءبيع منتجات أو خدمات الشركةتثقيف العملاء حول المنتجات والخدماتتطوير استراتيجية مبيعات فعالةتحديد الفرص لتحسين أداء المبيعاتمراقبة أنشطة المنافسينالحفاظ على علاقات جيدة مع العملاءإجراء أبحاث السوق والصناعةالتفاوض مع العملاء الحاليين والمحتملينالحفاظ على سجلات مبيعات العملاء المحتملينحل شكاوى العملاءالتعاون مع قسم التسويق- سنة-‎5 سنوات خبرة- مؤهل عالي- تسويق ومبيعات,male,Egypt,7902.507,252.88022,مبيعات,مبيعات,مسؤول مبيعات خارجيه ( خبره في مجال الادوات الصحيه ) - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,تقديم مقترحات المبيعات للعملاء المحتملينتقييم احتياجات العملاءبيع منتجات او خدمات الشركهتثقيف العملاء حول المنتجات والخدماتتطوير استراتيجيه مبيعات فعالهتحديد الفرص لتحسين اداء المبيعاتمراقبه انشطه المنافسينالحفاظ علي علاقات جيده مع العملاءاجراء ابحاث السوق والصناعهالتفاوض مع العملاء الحاليين والمحتملينالحفاظ علي سجلات مبيعات العملاء المحتملينحل شكاوي العملاءالتعاون مع قسم التسويق- سنه-‎5 سنوات خبره- مؤهل عالي- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,5.0,7
مبيعات خارجية (قطع غيار السيارات او النقل) - 15 مايو - القاهرة,15 مايو - الازبكية - البساتين - التبين - القاهرة,nan,مبيعات خارجية وتوزيع, سنة خبرة على الأقل- تناسب كل المؤهلات- تسويق ومبيعات,neutral,Egypt,7902.507,252.88022,مبيعات,مبيعات,مبيعات خارجيه (قطع غيار السيارات او النقل) - 15 مايو - القاهره,,مبيعات خارجيه وتوزيع,سنه خبره علي الاقل- تناسب كل المؤهلات- تسويق ومبيعات,Sales,مبيعات,,,,7902.5068359375,,7
